# GM,diameter,a,e,i,om,w,ma
,,2.96078483411662,0.682432921372534,11.2707509575385,69.92099750027795,198.6920225956304,349.641239890988
,,2.96762679277048,0.682432921372534,11.1901846106183,70.47094006423771,197.9285670216984,349.5716608708024
,,3.13424236839265,0.700467515087574,11.4587061463897,69.95554650558832,198.7461327274749,353.497734320052
,,2.97944716240244,0.682439213725336,10.9745482605982,71.41848296987524,196.4631309954056,349.8091408149953
,,2.9582410093582,0.682439213725336,11.3165548004854,69.69353534875259,199.0041336556026,349.5444421561689
,,2.98917045822215,0.685673899484921,11.3219762595877,69.83455705491185,198.8097995413545,352.9315188815893
,,2.97971817146176,0.684754805524033,11.3245005390743,69.72079451789067,198.954825666221,349.306235299396
,,2.95948456938239,0.682439213725336,11.2894062349653,69.80392620641391,198.8380687888751,349.2262840613326
,,2.95954219133071,0.682462679481376,11.3004575322101,69.75258615452337,198.9127973517095,352.5033923023544
,,3.04058323671172,0.691094488235562,11.370228917327,69.87876451740438,198.7979116113036,349.6481529567639
,,3.04504693747306,0.691542805405763,11.3707772083427,69.89745388065928,198.7753879911289,349.6318261550581
,,3.09141865178814,0.696223718867002,11.4093615023607,69.97335799061499,198.699429249213,349.8703461752779
,,2.95929756911756,0.682439213725336,11.2943325652082,69.77558820073149,198.8613490413005,349.1548474479109
,,3.04704387959224,0.691771506515135,11.3774492573962,69.88153448038356,198.794770559419,352.9190712329013
,,3.047706272631,0.691827563127927,11.3761572743389,69.89197757406906,198.7715535759656,352.9104171660001
,,2.95951342725043,0.682453453655532,11.2907748415971,69.81061092752898,198.8488389130481,352.5678957574933
,,3.05370675559865,0.692453880247705,11.3882612457051,69.8657752054544,198.8198463106619,352.9259732753705
,,2.98432308707744,0.685154134205868,11.3192478294503,69.82671174634405,198.8412924261245,353.0724241337271
,,3.11501747725682,0.698573546172044,11.444464486684,69.93999714325663,198.7685231571228,353.5860078961267
,4.46,4.162623732685822,.1485124072766704,6.650900948786863,77.07637126806435,86.55898561086209,194.6085002297501
,4.6,3.54314699923032,0.496307395647225,5.90720925939778,269.6860945460317,175.8017246617871,358.0938421757012
,0.66,3.470197474226769,.5387970976961729,30.48269410456945,84.12358600762543,.04790618335454158,53.5598483653103
,8.2,3.598736080327821,.3579270267550925,24.39891650189205,14.91506898645453,196.7213019170141,43.32438863067622
,,3.73590971838216,.4619028596361237,6.253845264350978,210.561210461237,192.7544368108993,113.6399853231238
,2.8,2.945858611714987,.6185134899509153,3.145618792107812,280.6403368540958,281.689317338125,5.987205298911507
,,4.021659589584823,.5989902415048468,29.92275599280534,259.8892998524929,339.1311051464525,352.2961693179048
,4.0,3.450114967981122,.5373543238379794,3.238287173774766,136.1066161686843,41.69284474711376,171.4155019345076
,1.46,4.142151524005956,.1228436023814659,1.125906251496336,239.4617259875922,226.3510356473145,45.78576051994936
,,3.33797581090783,0.517209914571475,22.659458665718,230.84200613,.3762291200373954,358.1852118196531
,1.80,3.64129988065612,.4950370873283377,7.287140451452368,112.3813030815116,276.4703221093038,42.93772433397255
,,5.1848871265672986652361,0.7811606261503803994017,4.2952945910302675613934,359.3961137217372,37.61838460810365,313.1875107575854
,0.86,3.6292818117943221878363,0.3659549047747090999571,15.447451799724120746759,72.58380197541607,179.1528568494786,357.2919206235787
,0.56,3.439988882211404,.3890210684886514,2.600758107323592,181.8982979881928,24.71860995154904,34.66653612875152
,4.4,3.108888642851917,.5629100172091527,4.382416613666521,56.70223680538571,235.9086296086273,302.5951801120339
,2.8,3.7950303750386020773532,0.3992295140228890870659,12.032305206332660318935,42.39249667045058,249.3204450596951,345.5792320554773
,7.8,6.04223509448231,0.509136733842498,9.61527473301573,13.51663373905199,28.23751090828684,15.38795096243373
,,3.900202625249658,.3290816622224581,14.07524719718066,247.8703122143508,354.6270701675999,24.55618353726403
